lemma	slp1_stem	kind	pada	trans	freq	gloss	attested_cells
as	ATHEM:{"3|Sing": "asti", "3|Dual": "staH", "3|Plur": "santi", "2|Sing": "asi", "2|Dual": "sTaH", "2|Plur": "sTa", "1|Sing": "asmi", "1|Dual": "svaH", "1|Plur": "smaH"}	athem	P	0	15693	be	9
bhū	Bava	them	P	0	14098	be	-1
kṛ	ATHEM:{"3|Sing": "karoti", "3|Dual": "kurutaH", "3|Plur": "kurvanti", "2|Sing": "karozi", "2|Dual": "kuruTaH", "2|Plur": "kuruTa", "1|Sing": "karomi", "1|Dual": "kurvaH", "1|Plur": "kurmaH"}	athem	P	1	5438	make like or similar	8
kṛ	ATHEM:{"3|Sing": "kurute", "3|Dual": "kurvAte", "3|Plur": "kurvate", "2|Sing": "kuruze", "2|Dual": "kurvATe", "2|Plur": "kuruDve", "1|Sing": "kurve", "1|Dual": "kurvahe", "1|Plur": "kurmahe"}	athem	A	1	5438	make like or similar	6
jan	jAya	them	A	0	2898	come into existence	-1
hu	ATHEM:{"3|Sing": "juhoti", "3|Dual": "juhutaH", "3|Plur": "juhvati", "2|Sing": "juhozi", "2|Dual": "juhuTaH", "2|Plur": "juhuTa", "1|Sing": "juhomi", "1|Dual": "juhuvaH", "1|Plur": "juhumaH"}	athem	P	0	2640	sacrifice	7
arh	arha	them	P	1	2280	deserve	-1
yā	ATHEM:{"3|Sing": "yAti", "3|Dual": "yAtaH", "3|Plur": "yAnti", "2|Sing": "yAsi", "2|Dual": "yATaH", "2|Plur": "yATa", "1|Sing": "yAmi", "1|Dual": "yAvaH", "1|Plur": "yAmaH"}	athem	P	0	2162	go	9
iṣ	icCa	them	P	1	2141	seek for	-1
gam	gacCa	them	P	0	1767	go	-1
dhā	ATHEM:{"3|Sing": "daDAti", "3|Dual": "DattaH", "3|Plur": "daDati", "2|Sing": "daDAsi", "2|Dual": "DatTaH", "2|Plur": "DatTa", "1|Sing": "daDAmi", "1|Dual": "daDvaH", "1|Plur": "daDmaH"}	athem	P	1	1750	put	8
i	ATHEM:{"3|Sing": "eti", "3|Dual": "itaH", "3|Plur": "yanti", "2|Sing": "ezi", "2|Dual": "iTaH", "2|Plur": "iTa", "1|Sing": "emi", "1|Dual": "ivaH", "1|Plur": "imaH"}	athem	P	0	1750	go	6
man	manya	them	A	1	1653	think	-1
sthā	tizWa	them	P	0	1450	stand	-1
grah	ATHEM:{"3|Sing": "gfhRAti", "3|Dual": "gfhRItaH", "3|Plur": "gfhRanti", "2|Sing": "gfhRAsi", "2|Dual": "gfhRITaH", "2|Plur": "gfhRITa", "1|Sing": "gfhRAmi", "1|Dual": "gfhRIvaH", "1|Plur": "gfhRImaH"}	athem	P	1	1439	seize	7
dā	ATHEM:{"3|Sing": "dadAti", "3|Dual": "dattaH", "3|Plur": "dadati", "2|Sing": "dadAsi", "2|Dual": "datTaH", "2|Plur": "datTa", "1|Sing": "dadAmi", "1|Dual": "dadvaH", "1|Plur": "dadmaH"}	athem	P	1	1410	give	6
han	ATHEM:{"3|Sing": "hanti", "3|Dual": "hataH", "3|Plur": "Gnanti", "2|Sing": "haMsi", "2|Dual": "haTaH", "2|Plur": "haTa", "1|Sing": "hanmi", "1|Dual": "hanvaH", "1|Plur": "hanmaH"}	athem	P	1	1388	strike	8
yaj	yaja	them	P	0	1363	worship	-1
car	cara	them	P	0	1249	[alchemy]	-1
vad	vada	them	P	1	1222	speak	-1
dṛś	paSya	them	P	1	1189	see	-1
jñā	ATHEM:{"3|Sing": "jAnAti", "3|Dual": "jAnItaH", "3|Plur": "jAnanti", "2|Sing": "jAnAsi", "2|Dual": "jAnITaH", "2|Plur": "jAnITa", "1|Sing": "jAnAmi", "1|Dual": "jAnIvaH", "1|Plur": "jAnImaH"}	athem	P	1	1073	know	8
āp	ATHEM:{"3|Sing": "Apnoti", "3|Dual": "ApnutaH", "3|Plur": "Apnuvanti", "2|Sing": "Apnozi", "2|Dual": "ApnuTaH", "2|Plur": "ApnuTa", "1|Sing": "Apnomi", "1|Dual": "ApnuvaH", "1|Plur": "ApnumaH"}	athem	P	1	1055	reach	6
kathay	kaTaya	them	P	0	942	call	-1
brū	ATHEM:{"3|Sing": "bravIti", "3|Dual": "brUtaH", "3|Plur": "bruvanti", "2|Sing": "bravIzi", "2|Dual": "brUTaH", "2|Plur": "brUTa", "1|Sing": "bravImi", "1|Dual": "brUvaH", "1|Plur": "brUmaH"}	athem	P	0	919	speak	8
brū	ATHEM:{"3|Sing": "brUte", "3|Dual": "bruvAte", "3|Plur": "bruvate", "2|Sing": "brUze", "2|Dual": "bruvATe", "2|Plur": "brUDve", "1|Sing": "bruve", "1|Dual": "bruvahe", "1|Plur": "brUmahe"}	athem	A	0	919	speak	6
vṛt	varta	them	A	0	889	turn	-1
labh	laBa	them	A	1	856	take	-1
prayam	prayacCa	them	P	1	728	hold out towards	-1
ās	ATHEM:{"3|Sing": "Aste", "3|Dual": "AsAte", "3|Plur": "Asate", "2|Sing": "Asse", "2|Dual": "AsATe", "2|Plur": "ADve", "1|Sing": "Ase", "1|Dual": "Asvahe", "1|Plur": "Asmahe"}	athem	A	0	700	sit	9
hṛ	hara	them	P	1	678	take	-1
jīv	jIva	them	P	0	662	live	-1
pravṛt	pravarta	them	A	0	659	roll or go onwards	-1
upasthā	upatizWa	them	A	1	630	stand or place one's self near	-1
ji	jaya	them	P	1	614	win or aquire	-1
vah	vaha	them	P	1	580	carry	-1
dviṣ	ATHEM:{"3|Sing": "dvezwi", "3|Dual": "dvizwaH", "3|Plur": "dvizanti", "2|Sing": "dvekzi", "2|Dual": "dvizWaH", "2|Plur": "dvizWa", "1|Sing": "dvezmi", "1|Dual": "dvizvaH", "1|Plur": "dvizmaH"}	athem	P	1	552	hate	5
vid	ATHEM:{"3|Sing": "vetti", "3|Dual": "vittaH", "3|Plur": "vidanti", "2|Sing": "vetsi", "2|Dual": "vitTaH", "2|Plur": "vitTa", "1|Sing": "vedmi", "1|Dual": "vidvaH", "1|Plur": "vidmaH"}	athem	P	1	539	know	7
prajan	prajAya	them	A	0	531	be born or produced	-1
pū	ATHEM:{"3|Sing": "punAti", "3|Dual": "punItaH", "3|Plur": "punanti", "2|Sing": "punAsi", "2|Dual": "punITaH", "2|Plur": "punITa", "1|Sing": "punAmi", "1|Dual": "punIvaH", "1|Plur": "punImaH"}	athem	P	0	528	make clean or clear or pure or bright	3
pracch	pfcCa	them	P	1	527	question	-1
śaṃs	SaMsa	them	P	1	523	recite	-1
vas	vasa	them	P	0	507	dwell	-1
stu	ATHEM:{"3|Sing": "stOti", "3|Dual": "stutaH", "3|Plur": "stuvanti", "2|Sing": "stOzi", "2|Dual": "stuTaH", "2|Plur": "stuTa", "1|Sing": "stOmi", "1|Dual": "stuvaH", "1|Plur": "stumaH"}	athem	P	0	498	praise	7
pat	pata	them	P	0	488	fly	-1
pratiṣṭhā	pratitizWa	them	P	0	485	stand	-1
sāday	sAdaya	them	P	1	483	cause to sit down or be seated	-1
tarpay	tarpaya	them	P	1	465	refresh	-1
jap	japa	them	P	1	460	utter in a low voice	-1
śī	ATHEM:{"3|Sing": "Sete", "3|Dual": "SayAte", "3|Plur": "Serate", "2|Sing": "Seze", "2|Dual": "SayATe", "2|Plur": "SeDve", "1|Sing": "Saye", "1|Dual": "Sevahe", "1|Plur": "Semahe"}	athem	A	0	440	lay down	5
janay	janaya	them	P	1	433	generate	-1
aś	ATHEM:{"3|Sing": "aSnute", "3|Dual": "aSnuvAte", "3|Plur": "aSnuvate", "2|Sing": "aSnuze", "2|Dual": "aSnuvATe", "2|Plur": "aSnuDve", "1|Sing": "aSnuve", "1|Dual": "aSnuvahe", "1|Plur": "aSnumahe"}	athem	A	1	425	come to	5
śru	ATHEM:{"3|Sing": "SfRoti", "3|Dual": "SfRutaH", "3|Plur": "SfRvanti", "2|Sing": "SfRozi", "2|Dual": "SfRuTaH", "2|Plur": "SfRuTa", "1|Sing": "SfRomi", "1|Dual": "SfRvaH", "1|Plur": "SfRmaH"}	athem	P	1	422	hear	4
muc	muYca	them	P	1	405	loose	-1
nī	naya	them	P	1	397	lead	-1
vṛdh	varDa	them	A	0	393	grow	-1
bhakṣay	Bakzaya	them	P	0	363	eat	-1
