sent_id	split	source	sentence	tokens_json
s0	train	Aitareyabrāhmaṇa	samānaḥ hotā bhavati	[{"form": "samānaḥ", "kind": "adj", "lemma": "samāna", "slot": "m:nom:sg"}, {"form": "hotā", "kind": "noun", "lemma": "hotṛ", "slot": "nom:sg"}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s1	train	Aitareyabrāhmaṇa	tat uttamām aditim yajati	[{"form": "tat", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "uttamām", "kind": "adj", "lemma": "uttama", "slot": "f:acc:sg"}, {"form": "aditim", "kind": "noun", "lemma": "aditi", "slot": "acc:sg"}, {"form": "yajati", "kind": "verb", "lemma": "yaj", "slot": "3:sg"}]
s2	train	Aitareyabrāhmaṇa	paśuṣu eva tat prāṇān dadhāti	[{"form": "paśuṣu", "kind": "noun", "lemma": "paśu", "slot": "loc:pl"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "tat", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "prāṇān", "kind": "noun", "lemma": "prāṇa", "slot": "acc:pl"}, {"form": "dadhāti", "kind": "verb", "lemma": "dhā", "slot": "3:sg"}]
s3	train	Aitareyabrāhmaṇa	hotā adhvaryum pṛcchati	[{"form": "hotā", "kind": "noun", "lemma": "hotṛ", "slot": "nom:sg"}, {"form": "adhvaryum", "kind": "noun", "lemma": "adhvaryu", "slot": "acc:sg"}, {"form": "pṛcchati", "kind": "verb", "lemma": "pracch", "slot": "3:sg"}]
s4	train	Arthaśāstra	cakram ekam na vartate	[{"form": "cakram", "kind": "noun", "lemma": "cakra", "slot": "nom:sg"}, {"form": "ekam", "kind": "adj", "lemma": "eka", "slot": "n:nom:sg"}, {"form": "na", "kind": "ind", "lemma": "na", "slot": ""}, {"form": "vartate", "kind": "verb", "lemma": "vṛt", "slot": "3:sg"}]
s5	train	Atharvaveda (Paippalāda)	rājñaḥ varuṇasya bandhaḥ asi	[{"form": "rājñaḥ", "kind": "noun", "lemma": "rājan", "slot": "gen:sg"}, {"form": "varuṇasya", "kind": "noun", "lemma": "varuṇa", "slot": "gen:sg"}, {"form": "bandhaḥ", "kind": "noun", "lemma": "bandha", "slot": "nom:sg"}, {"form": "asi", "kind": "verb", "lemma": "as", "slot": "2:sg"}]
s6	eval	Atharvaveda (Paippalāda)	vṛṣā tvam asi oṣadhe	[{"form": "vṛṣā", "kind": "noun", "lemma": "vṛṣan", "slot": "nom:sg"}, {"form": "tvam", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "asi", "kind": "verb", "lemma": "as", "slot": "2:sg"}, {"form": "oṣadhe", "kind": "noun", "lemma": "oṣadhi", "slot": "voc:sg"}]
s7	train	Atharvaveda (Paippalāda)	aham devebhyaḥ haviṣā juhomi	[{"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "devebhyaḥ", "kind": "noun", "lemma": "deva", "slot": "dat:pl"}, {"form": "haviṣā", "kind": "noun", "lemma": "havis", "slot": "ins:sg"}, {"form": "juhomi", "kind": "verb", "lemma": "hu", "slot": "1:sg"}]
s8	train	Atharvaveda (Paippalāda)	garbhaḥ asi oṣadhīnām garbhaḥ vanaspatīnām	[{"form": "garbhaḥ", "kind": "noun", "lemma": "garbha", "slot": "nom:sg"}, {"form": "asi", "kind": "verb", "lemma": "as", "slot": "2:sg"}, {"form": "oṣadhīnām", "kind": "noun", "lemma": "oṣadhi", "slot": "gen:pl"}, {"form": "garbhaḥ", "kind": "noun", "lemma": "garbha", "slot": "nom:sg"}, {"form": "vanaspatīnām", "kind": "noun", "lemma": "vanaspati", "slot": "gen:pl"}]
s9	train	Atharvaveda (Paippalāda)	aham te manasā manaḥ cakṣuḥ gṛhṇāmi cakṣuṣā	[{"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "te", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "manasā", "kind": "noun", "lemma": "manas", "slot": "ins:sg"}, {"form": "manaḥ", "kind": "noun", "lemma": "manas", "slot": "acc:sg"}, {"form": "cakṣuḥ", "kind": "noun", "lemma": "cakṣus", "slot": "acc:sg"}, {"form": "gṛhṇāmi", "kind": "verb", "lemma": "grah", "slot": "1:sg"}, {"form": "cakṣuṣā", "kind": "noun", "lemma": "cakṣus", "slot": "ins:sg"}]
s10	train	Atharvaveda (Paippalāda)	rudrasya mūtram asi amṛtasya nābhiḥ	[{"form": "rudrasya", "kind": "noun", "lemma": "rudra", "slot": "gen:sg"}, {"form": "mūtram", "kind": "noun", "lemma": "mūtra", "slot": "nom:sg"}, {"form": "asi", "kind": "verb", "lemma": "as", "slot": "2:sg"}, {"form": "amṛtasya", "kind": "noun", "lemma": "amṛta", "slot": "gen:sg"}, {"form": "nābhiḥ", "kind": "noun", "lemma": "nābhi", "slot": "nom:sg"}]
s11	train	Atharvaveda (Śaunaka)	gṛhṇāmi te madhyamam uttamam rasam	[{"form": "gṛhṇāmi", "kind": "verb", "lemma": "grah", "slot": "1:sg"}, {"form": "te", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "madhyamam", "kind": "adj", "lemma": "madhyama", "slot": "m:acc:sg"}, {"form": "uttamam", "kind": "adj", "lemma": "uttama", "slot": "m:acc:sg"}, {"form": "rasam", "kind": "noun", "lemma": "rasa", "slot": "acc:sg"}]
s12	train	Atharvaveda (Śaunaka)	cakṣuṣā te cakṣuḥ hanmi	[{"form": "cakṣuṣā", "kind": "noun", "lemma": "cakṣus", "slot": "ins:sg"}, {"form": "te", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "cakṣuḥ", "kind": "noun", "lemma": "cakṣus", "slot": "acc:sg"}, {"form": "hanmi", "kind": "verb", "lemma": "han", "slot": "1:sg"}]
s13	train	Atharvaveda (Śaunaka)	viṣeṇa hanmi te viṣam	[{"form": "viṣeṇa", "kind": "noun", "lemma": "viṣa", "slot": "ins:sg"}, {"form": "hanmi", "kind": "verb", "lemma": "han", "slot": "1:sg"}, {"form": "te", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "viṣam", "kind": "noun", "lemma": "viṣa", "slot": "acc:sg"}]
s14	train	Atharvavedapariśiṣṭa	tatra tatra eva vividham prajānām jāyate bhayam	[{"form": "tatra", "kind": "ind", "lemma": "tatra", "slot": ""}, {"form": "tatra", "kind": "ind", "lemma": "tatra", "slot": ""}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "vividham", "kind": "adj", "lemma": "vividha", "slot": "n:nom:sg"}, {"form": "prajānām", "kind": "noun", "lemma": "prajā", "slot": "gen:pl"}, {"form": "jāyate", "kind": "verb", "lemma": "jan", "slot": "3:sg"}, {"form": "bhayam", "kind": "noun", "lemma": "bhaya", "slot": "nom:sg"}]
s15	train	Aṣṭasāhasrikā	agrāṇi hi tāni bhagavan bhavanti	[{"form": "agrāṇi", "kind": "noun", "lemma": "agra", "slot": "nom:pl"}, {"form": "hi", "kind": "ind", "lemma": "hi", "slot": ""}, {"form": "tāni", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "bhagavan", "kind": "noun", "lemma": "bhagavat", "slot": "voc:sg"}, {"form": "bhavanti", "kind": "verb", "lemma": "bhū", "slot": "3:pl"}]
s16	train	Baudhāyanadharmasūtra	pitaraḥ tasya tam māsam tasmin rajasi śerate	[{"form": "pitaraḥ", "kind": "noun", "lemma": "pitṛ", "slot": "nom:pl"}, {"form": "tasya", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "tam", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "māsam", "kind": "noun", "lemma": "māsa", "slot": "acc:sg"}, {"form": "tasmin", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "rajasi", "kind": "noun", "lemma": "rajas", "slot": "loc:sg"}, {"form": "śerate", "kind": "verb", "lemma": "śī", "slot": "3:pl"}]
s17	train	Baudhāyanagṛhyasūtra	prajāpatim tarpayāmi iti	[{"form": "prajāpatim", "kind": "noun", "lemma": "prajāpati", "slot": "acc:sg"}, {"form": "tarpayāmi", "kind": "verb", "lemma": "tarpay", "slot": "1:sg"}, {"form": "iti", "kind": "ind", "lemma": "iti", "slot": ""}]
s18	train	Baudhāyanaśrautasūtra	tām te iha saṃbharāmi iti	[{"form": "tām", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "te", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "iha", "kind": "ind", "lemma": "iha", "slot": ""}, {"form": "saṃbharāmi", "kind": "verb", "lemma": "sambhṛ", "slot": "1:sg"}, {"form": "iti", "kind": "ind", "lemma": "iti", "slot": ""}]
s19	train	Baudhāyanaśrautasūtra	vastram asi iti vāsaḥ	[{"form": "vastram", "kind": "noun", "lemma": "vastra", "slot": "nom:sg"}, {"form": "asi", "kind": "verb", "lemma": "as", "slot": "2:sg"}, {"form": "iti", "kind": "ind", "lemma": "iti", "slot": ""}, {"form": "vāsaḥ", "kind": "noun", "lemma": "vāsas", "slot": "acc:sg"}]
s20	train	Baudhāyanaśrautasūtra	hayaḥ asi iti aśvam	[{"form": "hayaḥ", "kind": "noun", "lemma": "haya", "slot": "nom:sg"}, {"form": "asi", "kind": "verb", "lemma": "as", "slot": "2:sg"}, {"form": "iti", "kind": "ind", "lemma": "iti", "slot": ""}, {"form": "aśvam", "kind": "noun", "lemma": "aśva", "slot": "acc:sg"}]
s21	train	Baudhāyanaśrautasūtra	atha hotā bhakṣayati	[{"form": "atha", "kind": "ind", "lemma": "atha", "slot": ""}, {"form": "hotā", "kind": "noun", "lemma": "hotṛ", "slot": "nom:sg"}, {"form": "bhakṣayati", "kind": "verb", "lemma": "bhakṣay", "slot": "3:sg"}]
